Title,Address,Monthly Rent,URL
*** MOVE WITH ONLY $500 SECURITY DEPOSIT *** GREAT LOCATION***,SUNNY ISLES BEACH,$2600,https://miami.craigslist.org/mdc/apa/d/north-miami-beach-move-with-only-500/7098373643.html
You'll love the features this beautiful home has to offer,,$1520,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-youll-love-the-features/7098361116.html
*** MOVE WITH ONLY $500 SECURITY DEPOSIT *** GREAT LOCATION***,SUNNY ISLES BEACH,$2600,https://miami.craigslist.org/mdc/apa/d/north-miami-beach-move-with-only-500/7090035555.html
Resort Style Community! Fantastic Amenities!,Boynton Beach,$2229,https://miami.craigslist.org/pbc/apa/d/boynton-beach-resort-style-community/7088704959.html
"3/2 Apt., Downtown Ft. Lauderdale,Woodlike floors New Appliances",,$3283,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-3-2-apt-downtown-ft/7098366204.html
Great family neighborhood Rent-to-own@,"Margate, FL",$750,https://miami.craigslist.org/brw/apa/d/pompano-beach-great-family-neighborhood/7098345110.html
"Industrial-sized Fitness Center, Conference Room, Clubhouse",Plantation,$2141,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-industrial-sized/7092643464.html
ONE MONTH FREE! $249 Total Move-In! On the Intracoastal!!!,Fort Lauderdale,$2705,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-one-month-free-249/7094488624.html
ULTIMATE IN LUXURY & LOCATION! Steps to Las Olas!,Fort Lauderdale,$3260,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-ultimate-in-luxury/7089358555.html
Steps to Las Olas!!! The ULTIMATE IN LUXURY & LOCATION!,Fort Lauderdale,$3260,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-steps-to-las-olas-the/7086022500.html
ONE MONTH FREE! $249 Total Move-In! On the Intracoastal!!!,Fort Lauderdale,$2705,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-one-month-free-249/7095789727.html
Great Deal in a Great Location! UPDATED UNITS AVAILABLE!,Coral Springs,$1895,https://miami.craigslist.org/brw/apa/d/coral-springs-great-deal-in-great/7083080804.html
$1000-OFF FIRST MONTH + HALF OFF FEES! Gorgeous New Community!,Coconut Creek,$2255,https://miami.craigslist.org/brw/apa/d/pompano-beach-1000-off-first-month-half/7095758250.html
ULTIMATE IN LUXURY & LOCATION! Steps to Las Olas!,Fort Lauderdale,$3260,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-ultimate-in-luxury/7088935881.html
$1000-OFF FIRST MONTH + HALF OFF FEES! Gorgeous New Community!,Coconut Creek,$2255,https://miami.craigslist.org/brw/apa/d/pompano-beach-1000-off-first-month-half/7094709920.html
Steps to Las Olas!!! The ULTIMATE IN LUXURY & LOCATION!,Fort Lauderdale,$3260,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-steps-to-las-olas-the/7087437194.html
Steps to Las Olas!!! The ULTIMATE IN LUXURY & LOCATION!,Fort Lauderdale,$3260,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-steps-to-las-olas-the/7085769394.html
*** ONE MONTH FREE *** WAVED APPLICATION & DEPOSITS ***,MIDTOWN MIAMI,$4330,https://miami.craigslist.org/mdc/apa/d/miami-one-month-free-waved-application/7092069918.html
"► Apartment Home in BOCA RATON, Lighted tennis court, Business center",,$2149,https://miami.craigslist.org/pbc/apa/d/boca-raton-apartment-home-in-boca-raton/7098360426.html
*** MOVE WITH ONLY $500 SECURITY DEPOSIT *** GREAT LOCATION***,SUNNY ISLES BEACH,$2600,https://miami.craigslist.org/mdc/apa/d/north-miami-beach-move-with-only-500/7098360358.html
*** TWO MONTHS FREE *** ONLY $500 SECURITY DEPOSIT *** DOWNTOWN MIAMI,DOWNTOWN MIAMI,$3650,https://miami.craigslist.org/mdc/apa/d/miami-two-months-free-only-500-security/7098357206.html
House with pool,Westchester,$2200,https://miami.craigslist.org/mdc/apa/d/miami-house-with-pool/7098351500.html
3/2 available now !!!Doral West Apartments!!,doral,$2130,https://miami.craigslist.org/mdc/apa/d/miami-3-2-available-now-doral-west/7098318630.html
*** TWO MONTHS FREE *** ONLY $500 SECURITY DEPOSIT *** DOWNTOWN MIAMI,DOWNTOWN MIAMI,$3650,https://miami.craigslist.org/mdc/apa/d/miami-two-months-free-only-500-security/7098352581.html
"Grilling Areas, Basketball Court, Soccer Court",Pembroke Pines,$1836,https://miami.craigslist.org/brw/apa/d/hollywood-grilling-areas-basketball/7098353512.html
"Sparkling Pool, Tennis/Soccer Courts, Open Floor Plans",Plantation,$1992,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-sparkling-pool-tennis/7088359657.html
TWO MONTHS FREE *** ONLY $500 SECURITY DEPOSIT *** BRAND NEW BUILDING,DOWNTOWN MIAMI,$3650,https://miami.craigslist.org/mdc/apa/d/miami-two-months-free-only-500-security/7098348127.html
*** MOVE WITH ONLY $500 SECURITY DEPOSIT *** GREAT LOCATION***,SUNNY ISLES BEACH,$2600,https://miami.craigslist.org/mdc/apa/d/north-miami-beach-move-with-only-500/7082900190.html
$1790 LA VIA UNIT WITH 3B/2B IN PEMBROKE PINES,pembroke pines,$1790,https://miami.craigslist.org/brw/apa/d/hollywood-1790-la-via-unit-with-3b-2b/7082033269.html
"☺ Arbor Oaks in BOCA RATON, Walk-in closets , Lake views",,$2249,https://miami.craigslist.org/pbc/apa/d/boca-raton-arbor-oaks-in-boca-raton/7096322483.html
"Flawless Area, Large Wardrobes, Detached garage",Miami,$586,https://miami.craigslist.org/brw/apa/d/miami-flawless-area-large-wardrobes/7095310354.html
GREAT LOCATION!!,WEST PALM BEACH,$1800,https://miami.craigslist.org/pbc/apa/d/west-palm-beach-great-location/7098298225.html
SINGLE FAMILY HOUSE 3/2/2,LAKE WORTH,$2500,https://miami.craigslist.org/pbc/apa/d/greenacres-single-family-house-3-2-2/7098321171.html
*3BD2BA*Edgewater Miami*$500 Deposit+1ST Month Free*Virtual Tour,Midtown Miami River Edgewater Wynwood Brickell,$2845,https://miami.craigslist.org/mdc/apa/d/miami-3bd2baedgewater-miami500/7098342146.html
*West Miami*Gables*3BD2BA*$99 Deposit+2MonthFree*Virtual Tours*,west miami coral gables blue lagoon fontaineblue,$3160,https://miami.craigslist.org/mdc/apa/d/miami-west-miamigables3bd2ba99/7098340026.html
"Two Resort-style Swimming Pools, Picnic & Barbecue Areas, Clubhouse",Plantation,$2195,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-two-resort-style/7094791453.html
DIRECT BayView 3 Bedroom Unit DOWNTOWN NEW Building,Downtown,$3295,https://miami.craigslist.org/mdc/apa/d/miami-direct-bayview-3-bedroom-unit/7096421669.html
3 BED HOUSE WITH GARAGE - PETS OK! NO HOA! FIRST AND SECURITY ONLY!!!,ROYAL PALM BEACH,$2300,https://miami.craigslist.org/pbc/apa/d/west-palm-beach-3-bed-house-with-garage/7082967448.html
*3BD2BA*Edgewater Miami*$500 Deposit+1ST Month Free*Virtual Tour,Midtown Miami River Edgewater Wynwood Brickell,$2840,https://miami.craigslist.org/mdc/apa/d/miami-3bd2baedgewater-miami500/7098330705.html
"Business Center, Gated Community, Wood-style flooring",,$2245,https://miami.craigslist.org/brw/apa/d/hollywood-business-center-gated/7095735632.html
"BRIGHT, FRESH, CLEAN AND SERENE! LIVE THE FLORIDA DREAM IN THIS IMMACU","Deerfield Beach, FL",$1700,https://miami.craigslist.org/mdc/apa/d/deerfield-beach-bright-fresh-clean-and/7098322434.html
"spectacular home with 2 parking spaces.No credit, fast approval °°°",902 SW 8th Ave #902,$2200,https://miami.craigslist.org/mdc/apa/d/miami-spectacular-home-with-2-parking/7098273293.html
Own a home for the price of your monthly payment!,Broward,$1750,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-own-home-for-the-price/7098322076.html
Own a home for the price of your monthly payment!,Broward,$1750,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-own-home-for-the-price/7098321484.html
Own a home for the price of your monthly payment!,Broward,$1750,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-own-home-for-the-price/7098321152.html
"Stainless appliances, Custom window blinds, Built-in microwave oven",Kendall Miami,$2434,https://miami.craigslist.org/mdc/apa/d/miami-stainless-appliances-custom/7098312888.html
Own a home for the price of your monthly payment!,Broward,$1750,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-own-home-for-the-price/7098321759.html
Own a home for the price of your monthly payment!,Broward,$1750,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-own-home-for-the-price/7098320756.html
BOCA RATON NEWLEY RENOVATED APARTMENTS; RESORT STYLE POOL; LAKEVIEWS,,$2249,https://miami.craigslist.org/pbc/apa/d/boca-raton-boca-raton-newley-renovated/7096323183.html
LARGE SINGLE FAMILY HOUSE. NO ASSOCIATION!,14665 SW 101st St #14665,$2500,https://miami.craigslist.org/mdc/apa/d/miami-large-single-family-house-no/7098308011.html
Miami River Health District*3BD2BA*1Monthdep+1stMonth*Virtual Tour*,Miami River Little Havana West Brickell Marlin Stadium Healt,$2730,https://miami.craigslist.org/mdc/apa/d/miami-miami-river-health/7098324510.html
"Showcase Cinema, Personal Balconies or Patios, Lighted Tennis Court","Doral, FL",$2180,https://miami.craigslist.org/mdc/apa/d/miami-showcase-cinema-personal/7098322780.html
Beautiful freshly painted second floor condo,WEST PALM BEACH,$1500,https://miami.craigslist.org/pbc/apa/d/beautiful-freshly-painted-second-floor/7098273197.html
"Townhouse feel w/attached garage, move in specials, Open floorplan",Wellington,$2150,https://miami.craigslist.org/pbc/apa/d/wellington-townhouse-feel-attached/7098322174.html
*** MOVE WITH ONLY $500 SECURITY DEPOSIT *** GREAT LOCATION***,SUNNY ISLES BEACH,$2650,https://miami.craigslist.org/mdc/apa/d/miami-move-with-only-500-security/7083103774.html
Brand New Luxury Residence w/Upgrades & Amenities Galore: 1 MONTH FREE,"DOWNTOWN FLAGLER VILLAGE, Fort Lauderdale",$3250,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-brand-new-luxury/7098313993.html
Beautiful home nestled amongst expensive waterfront homes,20 Fort Royal Is,$3999,https://miami.craigslist.org/mdc/apa/d/fort-lauderdale-beautiful-home-nestled/7098303642.html
3 Bedroom 2 Bath With Pool/Waterfront Home For Rent,"Oakland Park, Fl.",$3000,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-3-bedroom-2-bath-with/7097318589.html
"SUPER SPECIAL 3/2 DUPLEX,FENCED TROPICAL YARD.",HOLLYWOOD,$1800,https://miami.craigslist.org/brw/apa/d/hollywood-super-special-3-2/7088875108.html
"Enclosed Paw Park, Fitness Center, Serene Lake with Fountain Feature",Delray Beach,$2174,https://miami.craigslist.org/pbc/apa/d/delray-beach-enclosed-paw-park-fitness/7084036196.html
JUNO BEACH Single Family Home,Juno Beach,$1995,https://miami.craigslist.org/pbc/apa/d/north-palm-beach-juno-beach-single/7098308882.html
"Picnic & Barbecue Areas, Clubhouse, Screen Patio and Balcony",Plantation,$2152,https://miami.craigslist.org/brw/apa/d/fort-lauderdale-picnic-barbecue-areas/7095215770.html
3 Pools-Tennis-2 Lane Bowling Alley-3 Room Fitness Center,,$2365,https://miami.craigslist.org/brw/apa/d/pembroke-pines-3-pools-tennis-2-lane/7098306783.html
"Bark park, Washer and Dryer Connections, Large Floorplans",,$1565,https://treasure.craigslist.org/apa/d/port-saint-lucie-bark-park-washer-and/7092132893.html
"Stylish Features, Online Rent Pay, Business Center",,$987,https://treasure.craigslist.org/apa/d/port-saint-lucie-stylish-features/7098362707.html
Love Where You Live In This 2X2!,,$1725,https://treasure.craigslist.org/apa/d/port-saint-lucie-love-where-you-live-in/7096459619.html
"Large 3 bed plus Bonus room for an office or 4th bed, Screened Porch",,$1950,https://treasure.craigslist.org/apa/d/port-saint-lucie-large-3-bed-plus-bonus/7098291556.html
"Spacious 3 bed, 2 bath home, Screened in Porch ... Immediate Moving",,$1750,https://treasure.craigslist.org/apa/d/port-saint-lucie-spacious-3-bed-2-bath/7098267884.html
"Beautiful 3Bed/2Bath Townhomes, 2 Pools, New 24/7 Gym, Pet Friendly!",,$1420,https://treasure.craigslist.org/apa/d/port-saint-lucie-beautiful-3bed-2bath/7098333431.html
"2 Sparkling Pools, Sand Volleyball Court, Bark park",,$1450,https://treasure.craigslist.org/apa/d/port-saint-lucie-2-sparkling-pools-sand/7090301630.html
Beautiful Home in Family Friendly Neighborhood!!!,,$950,https://treasure.craigslist.org/apa/d/port-saint-lucie-beautiful-home-in/7098323423.html
"Washer and dryer in every unit, Showcase cinema, Heated Jacuzzi",,$1712,https://treasure.craigslist.org/apa/d/port-saint-lucie-washer-and-dryer-in/7098314670.html
Hope Sound Single Family Home,,$1995,https://treasure.craigslist.org/apa/d/hobe-sound-hope-sound-single-family-home/7098311289.html
FAIRWAYS AT GRAND HARBOR,,$1450,https://treasure.craigslist.org/apa/d/vero-beach-fairways-at-grand-harbor/7083553510.html
TEQUESTA SINGLE FAMILY HOME,,$1995,https://treasure.craigslist.org/apa/d/jupiter-tequesta-single-family-home/7098309651.html
"Modern interior details, Expansive Clubhouse, Walk-in Closets",,$1200,https://treasure.craigslist.org/apa/d/fort-pierce-modern-interior-details/7082886840.html
Schedule A Tour With Us Today!!,,$1200,https://treasure.craigslist.org/apa/d/fort-pierce-schedule-tour-with-us-today/7082866155.html
"WiFi Access in Common Areas, Generous Closet Space",,$1200,https://treasure.craigslist.org/apa/d/fort-pierce-wifi-access-in-common-areas/7094198104.html
++ New 2 bedroom homes coming soon ++,,$1000,https://treasure.craigslist.org/apa/d/fort-pierce-new-2-bedroom-homes-coming/7082059924.html
"Black Appliances, W/D Hookups, Resort Style Pool",,$1200,https://treasure.craigslist.org/apa/d/fort-pierce-black-appliances-d-hookups/7094699339.html
Riviera Dr. Key West Canal Home - 3 bedroom 2 bath with pool,,$3500,https://keys.craigslist.org/apa/d/riviera-dr-key-west-canal-home-3/7098313161.html
"Laundry Facility, Car Wash Area, Planned Social Activities, Day Care",,$799,https://fortmyers.craigslist.org/col/apa/d/arcadia-laundry-facility-car-wash-area/7098366184.html
"Package Receiving, Air Conditioning, Tile Backsplash",,$1308,https://fortmyers.craigslist.org/lee/apa/d/fort-myers-package-receiving-air/7092082425.html
*$1543*2 Bedroom with a Den *Luxury Apartment*,,$1543,https://fortmyers.craigslist.org/lee/apa/d/fort-myers-bedroom-with-den-luxury/7098363379.html
First Floor Three Bedroom Apartment!,,$1350,https://fortmyers.craigslist.org/lee/apa/d/lehigh-acres-first-floor-three-bedroom/7098337455.html
First Floor Lake View Three Bedroom Apartment!,,$1440,https://fortmyers.craigslist.org/lee/apa/d/lehigh-acres-first-floor-lake-view/7098337194.html
"Incredible Amenities, BBQ and Picnic Area, Pet Friendly",,$1590,https://fortmyers.craigslist.org/col/apa/d/naples-incredible-amenities-bbq-and/7098315456.html
Renovated 3 bedroom 2 bath in great location,,$1300,https://fortmyers.craigslist.org/lee/apa/d/cape-coral-renovated-3-bedroom-2-bath/7094213572.html
"Fabulous 3 BR living space, in-unit washer/dryer. Call us today!",,$1775,https://fortmyers.craigslist.org/lee/apa/d/bonita-springs-fabulous-3-br-living/7098309587.html
CAPE CORAL DUPLEX FOR RENT,,$1150,https://fortmyers.craigslist.org/lee/apa/d/cape-coral-cape-coral-duplex-for-rent/7098309015.html
"☆ Saratoga Place in Sarasota, Stainless Steel appliances, Dishwasher",,$1735,https://sarasota.craigslist.org/apa/d/sarasota-saratoga-place-in-sarasota/7096322979.html
3BR/2BA APARTMENT WITH LARGE-SCREENED LANAI AVAILABLE,,$1559,https://sarasota.craigslist.org/apa/d/venice-3br-2ba-apartment-with-large/7098310980.html
3 bedroom 2 bath,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-3-bedroom-2-bath/7082965800.html
Apply Today,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-apply-today/7082902252.html
"AT LAST, WE HAVE WHAT YOU'VE BEEN LOOKING FOR! DON'T DELAY!",,$1030,https://sarasota.craigslist.org/apa/d/bradenton-at-last-we-have-what-youve/7082901337.html
"AT LAST, WE HAVE WHAT YOU'VE BEEN LOOKING FOR! DON'T DELAY!",,$1030,https://sarasota.craigslist.org/apa/d/bradenton-at-last-we-have-what-youve/7082900682.html
Apply Today,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-apply-today/7082900224.html
Apply Today,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-apply-today/7082899684.html
LIVE RIGHT IN THE HEART OF PALMETTO!,,$1030,https://sarasota.craigslist.org/apa/d/palmetto-live-right-in-the-heart-of/7081382862.html
3 BEDROOM 2 BATH CALL OR COME IN TODAY!,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-3-bedroom-2-bath-call-or-come/7081409355.html
3 bedroom 2 bath,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-3-bedroom-2-bath/7082634210.html
"STOP LOOKING AND START PACKING!! 1ST COME 1ST SERVE, HURRY IN!",,$1030,https://sarasota.craigslist.org/apa/d/bradenton-stop-looking-and-start/7082014602.html
BEAUTIFUL APARTMENTS AFFORDABLE RENT!,,$1030,https://sarasota.craigslist.org/apa/d/palmetto-beautiful-apartments/7086344915.html
COME IN AND APPLY TODAY!,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-come-in-and-apply-today/7087652540.html
3 bedroom apartment,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-3-bedroom-apartment/7086584574.html
3 BEDROOM 2 BATH CALL OR COME IN TODAY!,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-3-bedroom-2-bath-call-or-come/7090700298.html
3 bedroom 2 bath,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-3-bedroom-2-bath/7090077603.html
3 bedroom apartment,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-3-bedroom-apartment/7091312500.html
3 bedroom 2 bath,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-3-bedroom-2-bath/7082966311.html
3 bedroom 2 bath,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-3-bedroom-2-bath/7083274069.html
AFFORDABLE APARTMENTS 2 MILES FROM MANATEE MEMORIAL HOSPITAL!,,$1030,https://sarasota.craigslist.org/apa/d/palmetto-affordable-apartments-2-miles/7083274264.html
"AT LAST, WE HAVE WHAT YOU'VE BEEN LOOKING FOR! DON'T DELAY!",,$1030,https://sarasota.craigslist.org/apa/d/bradenton-at-last-we-have-what-youve/7083274473.html
Apply Today,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-apply-today/7083274667.html
3 BEDROOM 2 BATH CALL OR COME IN TODAY!,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-3-bedroom-2-bath-call-or-come/7083275658.html
3 BEDROOM 2 BATH CALL OR COME IN TODAY!,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-3-bedroom-2-bath-call-or-come/7083275871.html
3 Br 2 Bath,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-3-br-2-bath/7083277641.html
"WATER, TRASH AND SEWER-ALL INCLUDED!",,$1030,https://sarasota.craigslist.org/apa/d/palmetto-water-trash-and-sewer-all/7083289114.html
MOVE TO THE HEART OF PALMETTO! EVERYTHING YOU NEED AND MORE!,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-move-to-the-heart-of-palmetto/7085776019.html
**HOME SWEET HOME***,,$1030,https://sarasota.craigslist.org/apa/d/palmetto-home-sweet-home/7083293588.html
3 bedroom apartment,,$1030,https://sarasota.craigslist.org/apa/d/bradenton-3-bedroom-apartment/7083910052.html
