Title,address,Monthly Rent,URL
1080 SW Fellows St.,MCMINNVILLE,$1600,https://portland.craigslist.org/yam/apa/d/mcminnville-1080-sw-fellows-st/7094813475.html
625 NW Coventry Way,MCMINNVILLE,$1595,https://portland.craigslist.org/yam/apa/d/mcminnville-625-nw-coventry-way/7086092543.html
20766 NW Fairdale Rd.,Yamhill,$1795,https://portland.craigslist.org/yam/apa/d/carlton-nw-fairdale-rd/7092797890.html
1010 NW Summerwood Drive,McMinnville,$1875,https://portland.craigslist.org/yam/apa/d/mcminnville-1010-nw-summerwood-drive/7092357609.html
217 NW Sagan Loop,Sheridan,$1695,https://portland.craigslist.org/yam/apa/d/sheridan-217-nw-sagan-loop/7095874935.html
"3080 Troth Ct., SE",Salem,$1695,https://portland.craigslist.org/yam/apa/d/salem-3080-troth-ct-se/7095874316.html
Move-In Specials This Weekend ONLY!,,$1249,https://portland.craigslist.org/yam/apa/d/mcminnville-move-in-specials-this/7094770749.html
"3 BDRM, 2 BATH Beautiful Home in Lovely Neighborhood",McMinnville,$2100,https://portland.craigslist.org/yam/apa/d/mcminnville-3-bdrm-2-bath-beautiful/7097070963.html
"3 Bedroom, 2 Bath, Private Residence, McMinnville, $1495",McMinnville,$1495,https://portland.craigslist.org/yam/apa/d/mcminnville-3-bedroom-2-bath-private/7099329885.html
Get the moving truck ready!,Portland,$1600,https://portland.craigslist.org/yam/apa/d/portland-get-the-moving-truck-ready/7091766985.html
"COVID-19 Ready, Fully Furnished + FREE Toilet Paper! Month-to-Month.",McMinnville,$2500,https://portland.craigslist.org/yam/apa/d/mcminnville-covid-19-ready-fully/7094837391.html
"Great Space, Great Price, Call Today!",,$1249,https://portland.craigslist.org/yam/apa/d/mcminnville-great-space-great-price/7097340832.html
910 NW Donahoo St.,McMinnville,$1700,https://portland.craigslist.org/yam/apa/d/mcminnville-910-nw-donahoo-st/7098930469.html
876 8th St.,Lafayette,$1800,https://portland.craigslist.org/yam/apa/d/lafayette-876-8th-st/7098801052.html
Rent on the Rise?,NW 23rd St/Matteo Dr,$1249,https://portland.craigslist.org/yam/apa/d/mcminnville-rent-on-the-rise/7089048928.html
608 NW Jason Ct.,MCMINNVILLE,$1500,https://portland.craigslist.org/yam/apa/d/mcminnville-608-nw-jason-ct/7081686557.html
Call Today!,,$1249,https://portland.craigslist.org/yam/apa/d/mcminnville-call-today/7091490819.html
No Pet Fees or Restrictions!,McMinnville,$1249,https://portland.craigslist.org/yam/apa/d/mcminnville-no-pet-fees-or-restrictions/7095507847.html
No Application Fees,,$1249,https://portland.craigslist.org/yam/apa/d/mcminnville-no-application-fees/7092706995.html
"3 bed 2 bath, spacious floor plan, washer and dryer in unit!","Wilsonville, Tigard, Portland, Tualitin, Lake Oswego",$1760,https://portland.craigslist.org/yam/apa/d/wilsonville-3-bed-2-bath-spacious-floor/7096901876.html
3 BR Floor Plan w/Patio and Fireplace in Wilsonville!,"Wilsonville, Tigard, Portland, Tualitin, Lake Oswego",$1760,https://portland.craigslist.org/yam/apa/d/wilsonville-3-br-floor-plan-patio-and/7096509142.html
THIS SPACIOUS 3BR/2BA APT. HAS TWO PRIVATE PATIOS,"Beaverton, OR",$1732,https://portland.craigslist.org/wsc/apa/d/beaverton-this-spacious-3br-2ba-apt-has/7099830998.html
"3 Bed, Love Where You Live !! Call Today !!",,$2035,https://portland.craigslist.org/clc/apa/d/wilsonville-3-bed-love-where-you-live/7099827135.html
Get 2 Weeks FREE! Bright 3 Bed/2 Bath Ready Now!,3807 SE 35th Place,$1995,https://portland.craigslist.org/mlt/apa/d/portland-get-2-weeks-free-bright-3-bed/7094230271.html
"3/BD, #260-301 Top Floor!! Spacious Master Suite!! Large Pantry !!",,$2041,https://portland.craigslist.org/clc/apa/d/wilsonville-3-bd-top-floor-spacious/7099824934.html
Gaga would go GAGA over this 3 bed/ 2 bath!! $500 off mi!!!,"Wilsonville, Tualatin, Sherwood",$1489,https://portland.craigslist.org/clc/apa/d/wilsonville-gaga-would-go-gaga-over/7099807926.html
New Huge Second Floor 3BR 2BA Apartment Home Coming Available 04/10!,NE 112th Ave,$1675,https://portland.craigslist.org/clk/apa/d/vancouver-new-huge-second-floor-3br-2ba/7092073172.html
PAWsome Home! New Renovated Interiors-Large Open Courtyard + Dog Park!,3708 NE 109th Ave,$1766,https://portland.craigslist.org/clk/apa/d/vancouver-pawsome-home-new-renovated/7099816256.html
$500 Off!! Our Largest Floor Plan With A Beautiful Creekside View!,Hillsboro,$1699,https://portland.craigslist.org/wsc/apa/d/hillsboro-500-off-our-largest-floor/7099815357.html
We are here to help! call and ask about our 3 bed 2 bath units!,"wilsonville, Portland,Tualitin",$1767,https://portland.craigslist.org/clc/apa/d/wilsonville-we-are-here-to-help-call/7099796285.html
LARGE THREE BEDROOM APARTMENT IN THE HEART OF WEST LINN!,,$1899,https://portland.craigslist.org/clc/apa/d/marylhurst-large-three-bedroom/7098784627.html
"3 BD, extra storage, pantry, top floor , and VIEW of MT HOOD!!",,$2041,https://portland.craigslist.org/clc/apa/d/wilsonville-3-bd-extra-storage-pantry/7099807932.html
"Hurry, it's our LAST ONE! $500 OFF Move In Costs! Apply Online Today!",Portland,$1627,https://portland.craigslist.org/mlt/apa/d/gresham-hurry-its-our-last-one-500-off/7099806719.html
★ A Glorious Community For You ★,"Salmon Creek, Ridgefield",$1725,https://portland.craigslist.org/clk/apa/d/vancouver-glorious-community-for-you/7099805071.html
❆ This Wonderful Community has a Great Floor 3x2 Floor Plan ❆,"Salmon Creek, Ridgefield",$1725,https://portland.craigslist.org/clk/apa/d/vancouver-this-wonderful-community-has/7099804710.html
We have Goose news! No rent until 5/1/2020,Aloha,$1399,https://portland.craigslist.org/wsc/apa/d/portland-we-have-goose-news-no-rent/7099802821.html
North Portland Home for Rent,Near St Johns,$3000,https://portland.craigslist.org/mlt/apa/d/portland-north-portland-home-for-rent/7099795444.html
Large 3Bed2BA ready for move in! With $500 off! Call The Jones Today!,"Hillsboro, Intel, Tanasbourne",$1949,https://portland.craigslist.org/wsc/apa/d/beaverton-large-3bed2ba-ready-for-move/7099794817.html
$500 Move In Concession Come Tour Today!!,,$1771,https://portland.craigslist.org/wsc/apa/d/beaverton-500-move-in-concession-come/7099785996.html
3 BEDROOM 2 BATH 2ND FLOOR ~ APPLY ONLINE ~ AVAILABLE NOW!,Clackamas,$1860,https://portland.craigslist.org/clc/apa/d/happy-valley-3-bedroom-2-bath-2nd-floor/7099792644.html
"Easy Freeway Access, Extra Storage, Wheelchair Access, Free Weights",Lake Oswego,$2073,https://portland.craigslist.org/clc/apa/d/lake-oswego-easy-freeway-access-extra/7099789628.html
3 bed 2 bath home for rent,Vancouver wa,$1795,https://portland.craigslist.org/clk/apa/d/vancouver-3-bed-2-bath-home-for-rent/7099788833.html
$500 OFF THIS HOME!!~3X2~NEW CARPET~FIREPLACE~ GYM~XL GARAGE,,$2060,https://portland.craigslist.org/wsc/apa/d/500-off-this-home3x2new-carpetfireplace/7099788606.html
"One-Story Ranch house, close to I-5",Kelso-Longview,$1500,https://portland.craigslist.org/clk/apa/d/kelso-one-story-ranch-house-close-to-5/7099785886.html
$500 Move In Concession Come Tour Today!!,,$1771,https://portland.craigslist.org/wsc/apa/d/beaverton-500-move-in-concession-come/7098738840.html
"Top Floor, 3 Bed Town Home, Great Walking Score, Pre-Lease Today!!!",Wilsonville,$1950,https://portland.craigslist.org/clc/apa/d/wilsonville-top-floor-3-bed-town-home/7099781795.html
Apply now! 3 bedroom w/ walk in closet!,"Happy Valley, OR",$1200,https://portland.craigslist.org/clc/apa/d/happy-valley-apply-now-3-bedroom-walk/7099780574.html
Chic and Modern 3 Bedroom Townhouse- Steps from Irving Park!,KING,$2100,https://portland.craigslist.org/mlt/apa/d/portland-chic-and-modern-3-bedroom/7095015579.html
North Mississippi/Williams 3 Bedroom 2 full bath Ranch Style House,Boise,$2150,https://portland.craigslist.org/mlt/apa/d/portland-north-mississippi-williams-3/7092896786.html
Fab 3+ Bed 2 Bath Mid-Century Home in Hopping SE Neighborhood,Richmond,$2850,https://portland.craigslist.org/mlt/apa/d/portland-fab-3-bed-2-bath-mid-century/7086097645.html
"Secluded 3BR, 2BA, 1acre",Livingston Mountain,$1650,https://portland.craigslist.org/clk/apa/d/camas-secluded-3br-2ba-1acre/7099778107.html
Beautiful 2-Story 3 Bedroom Home in Minnehaha for Lease,5111 NE 29th Ave.,$1895,https://portland.craigslist.org/clk/apa/d/vancouver-beautiful-2-story-3-bedroom/7095828919.html
Spacious Single Level Home for Rent - 7218 NE 65th Pl,"Vancouver, WA",$1895,https://portland.craigslist.org/clk/apa/d/vancouver-spacious-single-level-home/7086157385.html
"Club House, Bath Garden Tub, Ceiling Fans, Wood-Burning Fireplaces",Gresham,$1543,https://portland.craigslist.org/mlt/apa/d/gresham-club-house-bath-garden-tub/7099767122.html
Available April 1:  3-bed 2-bath home,Rock Creek,$1995,https://portland.craigslist.org/wsc/apa/d/hillsboro-available-april-1-3-bed-2/7099765603.html
You & Your Furry Friends Will Love It Here! Make The Move To Township!,Canby,$1678,https://portland.craigslist.org/clc/apa/d/canby-you-your-furry-friends-will-love/7099758142.html
PERFECT CONDO! THE COMMUNITY'S BEAUTIFUL,"Portland, OR",$1025,https://portland.craigslist.org/mlt/apa/d/portland-perfect-condo-the-communitys/7091728377.html
Modern updates but all the craftsman charm!,"1411 SE 51st Ave, Portland, OR",$1200,https://portland.craigslist.org/mlt/apa/d/portland-modern-updates-but-all-the/7099745548.html
May the 4th be with you.  L2 is coming open.,,$1725,https://portland.craigslist.org/clk/apa/d/vancouver-may-the-4th-be-with-you-l2-is/7099741212.html
❆ 3x2 Move-in Ready Today! Great Move-in Special! ❆,"Salmon Creek, Ridgefield",$1750,https://portland.craigslist.org/clk/apa/d/vancouver-3x2-move-in-ready-today-great/7099740667.html
"Beautiful, Custom, 3bedroom, 2bathroom Home In HUNTER HIGHLAND N/HOOD!",Gresham,$2395,https://portland.craigslist.org/mlt/apa/d/portland-beautiful-custom-3bedroom/7099733454.html
🔥🔥Hot temperatures & even hotter specials this Spring!🔥🔥,"Tualatin, Oregon",$1985,https://portland.craigslist.org/wsc/apa/d/tualatin-hot-temperatures-even-hotter/7094341483.html
Coming Soon! 3x2 w/Garage! Only One Left! Don't Miss Out!,Portland/185th Ave./Bethany Neighborhood,$1955,https://portland.craigslist.org/wsc/apa/d/portland-coming-soon-3x2-garage-only/7099730130.html
"6 Weeks Free,  Same Day Approval,  Located in Slabtown",Portland,$2999,https://portland.craigslist.org/mlt/apa/d/portland-6-weeks-free-same-day-approval/7099725719.html
"Dont Wait! Apply Today! Adorable 3x2 BD, W&D Included!",Vancouver,$1585,https://portland.craigslist.org/clk/apa/d/vancouver-dont-wait-apply-today/7099725211.html
$200 Off if you virtual tour and apply today!,Beaverton,$1715,https://portland.craigslist.org/wsc/apa/d/beaverton-200-off-if-you-virtual-tour/7093307990.html
House for Rent,vancouver,$1950,https://portland.craigslist.org/clk/apa/d/vancouver-house-for-rent/7099720091.html
Home is Where the Heart is ❤️,Portland,$2999,https://portland.craigslist.org/mlt/apa/d/portland-home-is-where-the-heart-is/7099719453.html
Beautiful Remodeled Craftsman Home,,$3550,https://portland.craigslist.org/mlt/apa/d/west-linn-beautiful-remodeled-craftsman/7099714159.html
House for rent,Milwaukie,$2375,https://portland.craigslist.org/clc/apa/d/portland-house-for-rent/7089011141.html
House for rent,Milwaukie,$2375,https://portland.craigslist.org/clc/apa/d/portland-house-for-rent/7088130135.html
House for rent,Milwaukie,$2375,https://portland.craigslist.org/clc/apa/d/portland-house-for-rent/7089012151.html
House for rent,Milwaukie,$2375,https://portland.craigslist.org/clc/apa/d/portland-house-for-rent/7083811397.html
House for rent,Milwaukie,$2375,https://portland.craigslist.org/clc/apa/d/portland-house-for-rent/7083811692.html
House for rent,Milwaukie,$2375,https://portland.craigslist.org/clc/apa/d/portland-house-for-rent/7097823187.html
House for rent,Milwaukie,$2375,https://portland.craigslist.org/clc/apa/d/portland-house-for-rent/7097823478.html
House for rent,Milwaukie,$2375,https://portland.craigslist.org/clc/apa/d/portland-house-for-rent/7097823786.html
House for rent,Milwaukie,$2375,https://portland.craigslist.org/clc/apa/d/portland-house-for-rent/7099716282.html
Top Floor Three Bedroom ~ VAULTED CEILINGS!~24/7 Gym~Clubhouse Rentals,Happy Valley,$1890,https://portland.craigslist.org/clc/apa/d/portland-top-floor-three-bedroom/7099709956.html
"Get it Before it's Gone! Comfortable, Cozy, and Spacious! $500 Off!!",Hillsboro,$1650,https://portland.craigslist.org/wsc/apa/d/hillsboro-get-it-before-its-gone/7099714040.html
Spring Into Specials.,Happy Valley,$1941,https://portland.craigslist.org/clc/apa/d/happy-valley-spring-into-specials/7099711341.html
Beautiful 3BDRM Home with Wide Open Living Room & Lots of Windows,Buckman,$2500,https://portland.craigslist.org/mlt/apa/d/portland-beautiful-3bdrm-home-with-wide/7099710591.html
Be the first to live in our new 3 bed apartments! *ONE MONTH FREE*,Portland,$1929,https://portland.craigslist.org/mlt/apa/d/portland-be-the-first-to-live-in-our/7099708424.html
Come In Today And Take A Tour Today !!,"600 SW 150th Ave, Beaverton OR 97006",$1500,https://portland.craigslist.org/wsc/apa/d/beaverton-come-in-today-and-take-tour/7084091508.html
SPECIAL YOU CAN'T MISS!! One Month Free,Beaverton,$1500,https://portland.craigslist.org/mlt/apa/d/beaverton-special-you-cant-miss-one/7097964364.html
"FREE RENT on Huge, beautiful 3 bedroom 2 bathroom w/ attached garage!",Portland,$2115,https://portland.craigslist.org/wsc/apa/d/portland-free-rent-on-huge-beautiful-3/7098670965.html
3 Bed / 2 Full Bath NE Bungalow,Portland,$2550,https://portland.craigslist.org/mlt/apa/d/portland-3-bed-2-full-bath-ne-bungalow/7099700859.html
"FREE RENT on Huge, beautiful 3 bedroom 2 bathroom w/ attached garage!",Portland,$2115,https://portland.craigslist.org/wsc/apa/d/portland-free-rent-on-huge-beautiful-3/7098726389.html
1 MONTH FREE - Bethany West! 3 BED 2 BATH!,Bethany/NW Portland,$2265,https://portland.craigslist.org/wsc/apa/d/portland-1-month-free-bethany-west-3/7082921250.html
"Renovated 3 bdrm with W/D, fireplace, and garage!",Vancouver,$1750,https://portland.craigslist.org/clk/apa/d/vancouver-renovated-3-bdrm-with-d/7088620488.html
"Ground level 3 bdrm flat with W/D, fireplace, and garage!",Vancouver,$1750,https://portland.craigslist.org/clk/apa/d/vancouver-ground-level-3-bdrm-flat-with/7087323106.html
"3 Bed 2 Bath Available! New Flooring, Paint a& Appliances! $500 Off!",Gresham,$1854,https://portland.craigslist.org/mlt/apa/d/gresham-3-bed-2-bath-available-new/7099695680.html
"~ Central AC~ Washer/Dryer~ 3rd floor, Corner unit!","Gladstone, OR",$1750,https://portland.craigslist.org/clc/apa/d/central-ac-washer-dryer-3rd-floor/7085856300.html
"Tax Time - Buy a Home for $5,000 Down! Brand New - In house financing",,$159900,https://salem.craigslist.org/apa/d/salem-tax-time-buy-home-for-5000-down/7090879086.html
CONVENIENT AND LUXURY LIVING,,$1525,https://salem.craigslist.org/apa/d/salem-convenient-and-luxury-living/7099814604.html
PRICE REDUCED!  New Manufactured Home,,$164900,https://salem.craigslist.org/apa/d/salem-price-reduced-new-manufactured/7098825799.html
@ OR 3 beds 1 bath @,,$1200,https://salem.craigslist.org/apa/d/salem-or-3-beds-1-bath/7099779927.html
"Great South, private setting, fenced garden, edible landscaping,garage",,$1495,https://salem.craigslist.org/apa/d/great-south-private-setting-fenced/7086663761.html
217 NW Sagan Loop,,$1695,https://salem.craigslist.org/apa/d/sheridan-217-nw-sagan-loop/7095874640.html
Love Where You Live - Stunning 3 Bedroom Home Now Available!,,$1570,https://corvallis.craigslist.org/apa/d/independence-love-where-you-live/7099802918.html
Love Where You Live - Stunning 3 Bedroom Home Now Available!,,$1570,https://corvallis.craigslist.org/apa/d/independence-love-where-you-live/7099794190.html
DOWNSTAIRS 3 bedroom 2 bath AVAILABLE 05/05/2020,,$1300,https://corvallis.craigslist.org/apa/d/albany-downstairs-3-bedroom-2-bath/7099770020.html
Available April 8th - 3 Bedroom 2 Bath,,$1480,https://corvallis.craigslist.org/apa/d/lebanon-available-april-8th-3-bedroom-2/7099722179.html
Available April 21st - Luxury Living,,$1480,https://corvallis.craigslist.org/apa/d/lebanon-available-april-21st-luxury/7099722427.html
Watch the River!  1053 Front Ave. NE,,$1995,https://corvallis.craigslist.org/apa/d/albany-watch-the-river-1053-front-ave-ne/7087158095.html
Virtual tours and online access available now! Call us for more info!,,$1515,https://eugene.craigslist.org/apa/d/springfield-virtual-tours-and-online/7099756981.html
Now Accepting Apps for 2020-2021 at Plentywood! - 560 E. 18th,,$1895,https://eugene.craigslist.org/apa/d/eugene-now-accepting-apps-for-at/7099754659.html
Pre-leasing for fall 2 story unit ON CAMPUS,,$1785,https://eugene.craigslist.org/apa/d/eugene-pre-leasing-for-fall-2-story/7094445093.html
AVAILABLE FOR FALL - 3 Bedroom Near Campus - 73 E 19th Ave #4,,$1625,https://eugene.craigslist.org/apa/d/eugene-available-for-fall-3-bedroom/7096007567.html
3 Bedroom Unit Near Campus! - 73 E 19th Ave #5,,$1625,https://eugene.craigslist.org/apa/d/eugene-3-bedroom-unit-near-campus-th/7096046260.html
Beautiful 10-plex close to Safeway and Café Yumm! - 73 E 19th #7,,$1625,https://eugene.craigslist.org/apa/d/eugene-beautiful-10-plex-close-to/7096341366.html
Now Accepting Apps for 2020-2021 at Plentywood! - 560 E. 18th,,$1895,https://eugene.craigslist.org/apa/d/eugene-now-accepting-apps-for-at/7099751228.html
"March and April, RENT FREE! Remarkable Value. Unbeatable Location.",,$2020,https://eugene.craigslist.org/apa/d/springfield-march-and-april-rent-free/7099732215.html
"Pet Friendly, Year Round Hot Tub, Fitness Center",,$1499,https://eugene.craigslist.org/apa/d/eugene-pet-friendly-year-round-hot-tub/7099734746.html
Click link below to view our 3 bedroom townhomes virtually!,,$1515,https://eugene.craigslist.org/apa/d/springfield-click-link-below-to-view/7099733839.html
Charming 3+bd/2bth Farm House with Modern Updates,,$2095,https://eugene.craigslist.org/apa/d/eugene-charming-3bd-2bth-farm-house/7088721496.html
3 BED 2 BATH PET FRIENDLY AVAILABLE 5/15,,$1650,https://eugene.craigslist.org/apa/d/eugene-3-bed-2-bath-pet-friendly/7099699558.html
NW home for rent,,$2250,https://bend.craigslist.org/apa/d/bend-nw-home-for-rent/7099831638.html
2118  NW Cedar Ave.,,$1750,https://bend.craigslist.org/apa/d/redmond-2118-nw-cedar-ave/7098430125.html
2202 NE Holliday Ave. #3,,$1400,https://bend.craigslist.org/apa/d/bend-2202-ne-holliday-ave-3/7096524993.html
2202 NE Holliday Ave #1,,$1400,https://bend.craigslist.org/apa/d/bend-2202-ne-holliday-ave-1/7096350677.html
2652 NE Cordata Place,,$1700,https://bend.craigslist.org/apa/d/bend-2652-ne-cordata-place/7087121652.html
Newly updated home in NE Bend (2769),,$1795,https://bend.craigslist.org/apa/d/bend-newly-updated-home-in-ne-bend-2769/7092315673.html
Single Level Home in Redmond! (694),,$1650,https://bend.craigslist.org/apa/d/redmond-single-level-home-in-redmond-694/7090226955.html
"Beautiful NE Bend Home, Close to Hospital & Shopping",,$2295,https://bend.craigslist.org/apa/d/bend-beautiful-ne-bend-home-close-to/7099783254.html
"Spacious, Well maintained 3be/2ba duplex",,$1495,https://bend.craigslist.org/apa/d/hubbard-spacious-well-maintained-3be/7082895170.html
Home for Rent,,$1900,https://bend.craigslist.org/apa/d/bend-home-for-rent/7099779109.html
"Spacious, well-maintained 3be/2ba duplex",,$1495,https://bend.craigslist.org/apa/d/hubbard-spacious-well-maintained-3be/7082889711.html
VERY RARE! 3 bedroom/2 bath w/laminate floors & gas fireplace,,$1815,https://bend.craigslist.org/apa/d/bend-very-rare-3-bedroom-2-bath/7096100973.html
Home for Rent,,$1495,https://bend.craigslist.org/apa/d/redmond-home-for-rent/7099756417.html
Brand new 3/bed 2/bath single level home-NE 5th,,$1775,https://bend.craigslist.org/apa/d/redmond-brand-new-3-bed-2-bath-single/7099729744.html
Centrally located 3/bed 2/bath single story - NE 7th,,$1525,https://bend.craigslist.org/apa/d/bend-centrally-located-3-bed-2-bath/7099726109.html
2854 SW Peridot - 3 Bedroom Duplex,,$1275,https://bend.craigslist.org/apa/d/redmond-2854-sw-peridot-3-bedroom-duplex/7099703159.html
Spacious 3 Bedroom 2 Bathroom Apartments!!,,$1725,https://yakima.craigslist.org/apa/d/kittitas-spacious-3-bedroom-2-bathroom/7099832733.html
"A deal this good doesn't come around every day. 3 Bed, 2 Bath!",,$425,https://yakima.craigslist.org/apa/d/yakima-deal-this-good-doesnt-come/7099702259.html
